,ROUTE_ID,ROUTE_NM,ROUTE_ABRV,DSTNC,ROUTE_TY,SSTTN_NM,ESTTN_NM,CARALC,FIRCAR_TM,LSTCAR_TM,GROUP_NM
109,104000006,242,242,47.0,3,중랑공영차고지,개포동,14,0.042,0.223, 대원교통
110,100100042,260,260,53.1,3,중랑차고지,국회의사당역,10,0.0355,0.224, 메트로버스
111,100100043,261,261,52.7,3,석관동(상진운수종점),여의도,10,0.035,0.223, 상진운수
112,100100044,262,262,55.3,3,중랑차고지,여의도,9,0.04,0.22," 대원교통, 북부운수"
113,100100046,270,270,50.9,3,상암차고지,망우리(양원역),10,0.04,0.222, 다모아자동차
114,100100047,271,271,52.99,3,용마문화복지센터,월드컵파크7단지,6,0.041,0.222, 경성여객
115,100100048,272,272,46.5,3,면목동,남가좌동,6,0.0415,0.223, 북부운수
116,100100049,273,273,44.0,3,중랑공영차고지,홍대입구역,8,0.041,0.2305, 메트로버스
117,100100051,301,301,48.2,3,장지공영차고지,혜화동,8,0.04,0.223, 서울버스
118,100100438,3011,3011,42.6,4,장지공영차고지,한남동,11,0.042,0.225," 서울버스, 진화운수"
119,100100052,302,302,55.46,3,상대원차고지,상왕십리역,12,0.04,0.2245, 동성교통
120,100100053,303,303,54.59,3,상대원차고지,신설동역,9,0.04,0.222, 동성교통
121,100100564,320,320,39.2,3,복정역환승센터,중랑구청,9,0.04,0.23, 남성버스
122,100100212,3212,3212,26.5,4,강동차고지,강변역,14,0.043,0.233, 서울승합
123,100100213,3214,3214,26.44,4,마천동,강변역,13,0.044,0.232, 송파상운
124,100100215,3216,3216,38.1,4,오금동,경희대입구,13,0.043,0.224, 신흥운수
125,100100216,3217,3217,42.6,4,송파차고지,어린이대공원,9,0.043,0.2245, 한서교통
126,100100218,3220,3220,37.38,4,오금동,청량리,17,0.043,0.224, 신흥운수
127,100100219,3313,3313,12.3,4,복정역환승센터,잠실새내역,8,0.0425,0.2325," 대성운수, 한서교통"
128,100100220,3314,3314,29.4,4,장지공영차고지,종합운동장,10,0.044,0.232, 송파상운
129,100100221,3315,3315,27.4,4,장지공영차고지,삼전동사회복지관,7,0.043,0.232, 송파상운
130,100100222,3316,3316,18.7,4,마천동,천호역,12,0.045,0.233, 송파상운
131,100100478,3317,3317,18.4,4,남한산성입구,잠실새내역,8,0.043,0.233, 송파상운
132,100100498,3318,3318,44.0,4,강동차고지,마천동,12,0.043,0.231," 서울승합, 송파상운"
133,100100501,3319,3319,23.4,4,장지공영차고지,잠실역7번출구,17,0.043,0.233, 진화운수
134,100100578,3321,3321,24.3,4,강동공영차고지,강동구청,14,0.043,0.234," 서울승합, 송파상운"
135,100100613,3322,3322,27.3,4,복정역환승센터,잠실종합운동장,11,0.04,0.232, 한서교통
136,124000039,3323,3323,19.2,4,강동차고지,중앙보훈병원역,15,0.043,0.234, 대원여객
137,100100496,333,333,46.5,3,복정역환승센터,올림픽공원,11,0.04,0.23, 대성운수
138,100100055,340,340,41.1,3,강동공영차고지,강남역,7,0.043,0.231, 서울승합
139,100100056,341,341,45.7,3,강동공영차고지,우면동,12,0.043,0.222, 대원여객
140,100100223,3411,3411,34.6,4,강동차고지,삼성역,11,0.043,0.232, 서울승합
141,100100224,3412,3412,50.8,4,강동차고지,강남역,14,0.04,0.223, 서울승합
142,100100225,3413,3413,46.0,4,강동차고지,수서경찰서,9,0.042,0.23, 서울승합
143,100100226,3414,3414,36.6,4,오금동,개포동,13,0.043,0.224, 신흥운수
144,100100228,3416,3416,16.8,4,마천동,은곡마을입구.리엔파크2단지,12,0.044,0.233, 송파상운
145,100100229,3417,3417,24.6,4,장지공영차고지,삼성역,7,0.043,0.233, 진화운수
146,124000038,342,342,47.0,3,강동공영차고지,압구정로데오역,11,0.04,0.223, 서울승합
147,100100579,3420,3420,48.5,4,복정역환승센터,구반포역,12,0.04,0.223," 남성버스, 동성교통"
148,100100232,3422,3422,37.5,4,장지공영차고지,한티역,16,0.042,0.223, 진화운수
149,100100612,3426,3426,36.9,4,서울버스종점,청담동,10,0.042,0.23, 서울버스
150,107000002,343,343,40.7,3,복정역환승센터,압구정역,15,0.04,0.224, 대성운수
151,124000036,345,345,49.0,3,복정역환승센터,구반포역,12,0.04,0.225, 대성운수
152,100100553,350,350,51.2,3,복정역환승센터,노들역,12,0.04,0.223, 한서교통
153,100100057,360,360,55.7,3,복정역환승센터,여의도환승센터,6,0.04,0.225, 한국BRT
154,100100454,361,361,54.2,3,복정역환승센터,여의도,11,0.04,0.223, 남성버스
155,100100061,370,370,48.7,3,강동공영차고지,충정로역,4,0.04,0.2325," 대원여객, 송파상운"
156,100100596,400,400,48.9,3,염곡동,시청,12,0.041,0.223, 삼성여객
157,100100062,401,401,52.7,3,장지공영차고지,서울역,11,0.04,0.223, 서울버스
158,100100063,402,402,56.21,3,장지공영차고지,광화문,9,0.04,1.0005, 진화운수
159,100100597,405,405,43.9,3,염곡동,시청광장,15,0.041,0.224, 삼성여객
160,100100064,406,406,42.59,3,개포동,서울역,13,0.042,0.232, 도선여객
161,100100068,420,420,46.2,3,개포동,청량리,7,0.041,0.23, 도선여객
162,100100409,421,421,30.4,3,염곡동차고지,옥수동,10,0.04,0.221, 삼성여객
163,100100604,4211,4211,32.5,4,염곡동차고지,한양대동문앞,13,0.0355,0.23, 대흥교통
164,100100234,4212,4212,35.2,4,남태령역,중곡역,8,0.04,0.23, 우신운수
165,100100500,4312,4312,43.0,4,개포동,가락1동주민센터,10,0.043,0.225, 도선여객
166,100100237,4318,4318,51.6,4,방배동차고지,풍납동한가람아파트,8,0.04,0.223, 우신운수
167,100100427,4319,4319,33.3,4,전원마을,잠실역,15,0.042,0.23," 우신버스, 우신운수"
168,100100459,440,440,49.0,3,복정역환승센터,압구정동한양파출소앞,11,0.0355,0.2255, 대성운수
169,100100070,441,441,64.1,3,월암공영차고지,신사사거리,10,0.042,0.222, 우신버스
170,100100609,4425,4425,48.0,4,상대원차고지,삼성역,16,0.04,0.223," 남성버스, 동성교통"
171,100100246,4432,4432,25.8,4,개포동,신원동,10,0.04,0.232, 도선여객
172,100100247,4433,4433,12.2,4,대치역,양재역,9,0.054,0.233, 정평운수
173,122000001,4435,4435,23.5,4,개포동차고지,서초역,15,0.042,0.233, 도선여객
174,113000002,452,452,66.3,3,복정역환승센터,중대병원,12,0.04,0.233, 남성버스
175,100100071,461,461,62.29,3,장지공영차고지,여의도공원,11,0.04,0.221, 진화운수
176,100100605,463,463,49.485,3,염곡동차고지,국회의사당,10,0.04,0.2215, 대흥교통
177,100100073,470,470,55.28,3,상암차고지,안골마을,10,0.04,0.223, 다모아자동차
178,100100075,472,472,39.65,3,개포동차고지,신촌로타리,7,0.041,0.232, 도선여객
179,100100076,500,500,44.1,3,석수역,을지로입구,9,0.04,0.23," 군포교통, 서울교통네트웍"
180,100100077,501,501,29.92,3,한남운수대학동차고지,종로2가,9,0.043,0.223, 한남여객
181,100100248,5012,5012,45.0,4,가산동,용산역,12,0.042,0.223, 신인운수
182,100100410,502,502,70.47,3,월암공영차고지,한국은행.신세계,11,0.041,0.225, 우신버스
183,100100078,503,503,45.0,3,광명공영차고지,서울역,14,0.0415,0.222, 보영운수
184,100100079,504,504,44.0,3,광명공영주차장,남대문,7,0.0355,0.224, 한성운수
185,100100080,505,505,57.4,3,노온사동,서울역,11,0.041,0.223, 범일운수
186,100100081,506,506,44.104,3,신림2동차고지,을지로입구역.광교,14,0.043,0.223, 한남여객
187,100100082,507,507,50.244,3,석수역,동대문역사문화공원,9,0.04,0.225, 서울교통네트웍
188,100100083,540,540,51.9,3,군포공영차고지,서울성모병원,14,0.0445,1.0005, 우신버스
189,100100574,541,541,56.7,3,군포공영차고지,강남역,16,0.041,0.232, 우신버스
190,100100249,5413,5413,36.13,4,시흥,고속터미널,7,0.042,0.231, 범일운수
191,100100603,542,542,62.6,3,부곡버스공영차고지,신사역,22,0.042,0.23, 대원여객
192,100100250,5511,5511,25.4,4,신림2동차고지,중앙대학교,7,0.053,0.233, 한남여객
193,100100251,5513,5513,15.155,4,서울대학교,벽산블루밍아파트,11,0.053,0.233, 한남여객
194,100100252,5515,5515,10.8,4,금호타운아파트,청림동현대아파트,9,0.053,0.233," 관악교통, 한남여객"
195,100100253,5516,5516,23.8,4,신림2동차고지,노량진역,8,0.05,0.23, 한남여객
196,100100254,5517,5517,37.279,4,한남운수대학동차고지,중앙대학교,13,0.043,0.223, 한남여객
197,100100255,5519,5519,7.7,4,용천사,우방아파트,14,0.06,0.2325, 관악교통
198,100100257,5522A난곡,5522A,20.0,4,난곡,난곡,13,0.05,0.233, 보성운수
199,100100258,5522B호암,5522B,20.0,4,서울난향초등학교,신대방역,13,0.05,0.233," 보성운수, 한남여객"
200,100100259,5523,5523,12.2,4,난곡,서울대입구역,14,0.043,0.232, 보성운수
201,100100260,5524,5524,34.916,4,난향차고지,중앙대학교,8,0.04,0.223, 양천운수
202,100100261,5525,5525,15.75,4,시흥동,보라매공원,17,0.045,0.232, 범일운수
203,100100263,5528,5528,36.73,4,가산동,사당역,12,0.043,0.225, 신인운수
204,100100264,5530,5530,57.356,4,군포공영차고지,사당역,12,0.044,0.223, 우신버스
205,100100265,5531,5531,51.44,4,군포공영차고지,노들역,8,0.042,0.223, 군포교통
206,100100267,5535,5535,37.6,4,하안동,노량진,8,0.042,0.224, 한성운수
207,100100268,5536,5536,27.6,4,하안동,중앙대,9,0.041,0.224, 한성운수
208,100100269,5537,5537,11.1,4,시흥동,가산디지털단지역,15,0.043,0.233, 범일운수
209,100100295,5611,5611,12.0,4,가산동,신도림역,17,0.042,0.232, 한남여객
210,100100272,5615,5615,27.5,4,난곡,여의도,10,0.041,0.23, 보성운수
211,100100273,5616,5616,45.4,4,가산동,영도중학교,15,0.042,0.222, 한남여객
212,100100274,5617,5617,10.53,4,시흥,구로디지털단지역,10,0.045,0.235, 범일운수
213,100100275,5618,5618,34.3,4,구로동,구로동,11,0.033,0.221, 보성운수
214,100100276,5619,5619,18.77,4,시흥동,신도림역,11,0.043,0.233, 범일운수
215,100100277,5620,5620,27.7,4,시흥,선유도역,8,0.043,0.231, 범일운수
216,100100278,5621,5621,6.45,4,삼익아파트,구로디지털단지역,8,0.052,0.235, 범일운수
217,100100279,5623,5623,56.0,4,군포공영차고지,여의도,9,0.04,0.222, 군포교통
218,100100281,5625,5625,42.0,4,안양비산동,영등포역(영등포시장),11,0.04,0.224, 서울매일버스
219,100100282,5626,5626,49.0,4,안양비산동,온수동종점,12,0.04,0.2225, 서울매일버스
220,100100283,5627,5627,35.91,4,노온사동,구로디지털단지역,18,0.043,0.233, 범일운수
221,100100284,5630,5630,28.42,4,광명공영차고지,목동역,15,0.0415,0.225, 보영운수
